,neuron_id,mean_firing_rate,cv2_isi,cluster,waveform_width,peak_asymmetry,channel,is_single_unit,session_name,group_name,experiment_name
59,89.0,3.4438598728850836,0.7377949444487861,slow_irregular,130.0,0.47101449275362317,23,1,ESHOCK_07_LOC1,sham,ESHOCK
60,90.0,9.933329232277057,0.8958468044146075,fast_firing,20.0,0.08,28,1,ESHOCK_07_LOC1,sham,ESHOCK
61,91.0,9.967963952250862,0.9380214622292495,fast_firing,19.0,0.07692307692307693,29,1,ESHOCK_07_LOC1,sham,ESHOCK
62,92.0,3.040542155765417,0.8302124486398074,slow_irregular,24.0,0.096,27,1,ESHOCK_07_LOC1,sham,ESHOCK
63,93.0,5.190311885422722,1.0012856376975294,slow_irregular,56.0,0.24561403508771928,18,1,ESHOCK_07_LOC1,sham,ESHOCK
64,94.0,5.113902006807833,0.9107857997777926,slow_irregular,57.0,0.2345679012345679,28,1,ESHOCK_07_LOC1,sham,ESHOCK
65,95.0,7.635158680433833,0.8778105662403171,slow_irregular,27.0,0.10931174089068826,31,1,ESHOCK_07_LOC1,sham,ESHOCK
66,96.0,5.581598726917889,0.9219235999262715,slow_irregular,,,23,1,ESHOCK_07_LOC1,sham,ESHOCK
67,97.0,26.153609914982137,0.45904986967718964,fast_firing,15.0,0.06224066390041494,1,1,ESHOCK_08_LOC1,sham,ESHOCK
68,98.0,6.653357546765833,0.9849747982996973,slow_irregular,52.0,0.1897810218978102,11,1,ESHOCK_08_LOC1,sham,ESHOCK
69,100.0,10.725096492549945,0.5135084125442558,fast_firing,22.0,0.08943089430894309,9,1,ESHOCK_08_LOC1,sham,ESHOCK
70,101.0,11.593975198935029,0.8662706241158487,fast_firing,104.0,0.4642857142857143,9,1,ESHOCK_08_LOC1,sham,ESHOCK
71,102.0,2.0581931054802225,0.39379233374363837,slow_regular,54.0,0.19285714285714287,14,1,ESHOCK_08_LOC1,sham,ESHOCK
72,104.0,4.970408954466222,0.7597379150849521,slow_irregular,62.0,0.21379310344827587,14,1,ESHOCK_08_LOC1,sham,ESHOCK
